	GK2	GK12	GK13	GK14	GK15	GK16	GK17	GK18	GK19	GK20
hsa-miR-2116-5p	2	2	3	0	0	2	3	2	0	2
hsa-miR-212-3p	101	135	150	231	86	90	100	113	107	105
hsa-miR-212-5p	52	50	60	76	31	24	19	37	47	37
hsa-miR-214-3p	4702	2776	1176	1367	2721	1029	1973	1775	1706	1323
hsa-miR-214-5p	664	1259	521	441	984	530	872	661	518	511
hsa-miR-215-5p	55	245	77	192	161	85	254	121	46	77
hsa-miR-216a-3p	6	7	11	6	23	5	15	10	9	4
hsa-miR-216a-5p	13	26	50	19	149	17	72	64	60	24
hsa-miR-216b-5p	4	4	5	5	10	2	0	2	2	4
hsa-miR-217	4	9	16	6	39	2	21	26	19	9
hsa-miR-218-1-3p	2	7	2	2	3	0	2	0	0	0
hsa-miR-218-2-3p	0	0	0	0	4	0	0	2	0	0
hsa-miR-218-5p	769	1277	791	801	1342	784	1036	1153	606	564
hsa-miR-219a-1-3p	6	0	3	2	4	2	4	6	8	2
hsa-miR-219a-5p	15	5	4	13	6	3	8	6	0	2
hsa-miR-219b-3p	5	0	5	4	5	0	6	3	4	3
hsa-miR-219b-5p	2	2	0	0	2	0	0	3	0	0
hsa-miR-22-3p	1690937	1579214	2026034	1878581	991962	1244460	1593508	1778470	1077954	1376371
hsa-miR-22-5p	2161	1232	1929	2423	1139	1348	1177	1734	1510	1236
hsa-miR-221-3p	41342	18996	15827	40440	15033	16114	18559	14121	11764	24471
hsa-miR-221-5p	554	404	250	652	211	313	369	279	206	429
hsa-miR-222-3p	11492	8811	6648	9867	4779	6728	9766	7467	5496	4374
hsa-miR-222-5p	6	16	8	9	3	3	8	4	2	5
hsa-miR-223-3p	537	1891	1135	668	873	494	586	533	842	974
hsa-miR-223-5p	6	22	9	15	9	0	5	5	15	5
hsa-miR-224-3p	189	57	78	109	77	104	41	82	14	26
hsa-miR-224-5p	925	543	1433	1146	827	1048	648	1160	409	466
hsa-miR-2276-3p	4	2	0	4	2	0	5	0	0	0
hsa-miR-2277-3p	6	2	2	10	0	0	0	3	0	0
hsa-miR-2277-5p	79	51	56	65	29	25	37	45	26	37
hsa-miR-2278	4	0	0	3	0	0	0	0	0	0
hsa-miR-2355-3p	15	8	10	10	4	0	17	4	6	6
hsa-miR-2355-5p	137	114	138	171	118	84	153	135	77	85
hsa-miR-23a-3p	35378	28495	22708	22836	25115	19580	20163	20575	18051	17599
hsa-miR-23a-5p	104	379	116	171	119	87	118	211	149	40
hsa-miR-23b-3p	94781	92999	94388	78035	119987	55463	66020	55392	60485	66524
hsa-miR-23b-5p	30	19	23	30	17	13	13	17	12	8
